"logical_family_id","dataset","family","family_kind","closest_anchor","sampling_recommendation","regime_recommendation","char_file_conditioning","pcf_status","multiscale_status","mixed_type_status","retrieval_status","conditioning_candidates","model_defaults","model_candidates","rationale","anchor_distance"
"alibaba__alibaba","alibaba","alibaba","request_sequence","alibaba","block","K≈8",TRUE,"promising","promising","mixed","unknown","object_unique,signed_stride_lag1_autocorr,obj_size_std","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8","PCF loss is promising on the alibaba corpus; multi-scale critic looks promising for higher-mode families; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity",0
"Baleen24__Baleen24","Baleen24","Baleen24","request_sequence","tencent_block","block","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8; treat locality as first-class in the loss/conditioning stack","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; reuse/locality is not negligible",111.660871302475
"MSR__exchange","MSR","exchange","request_sequence","tencent_block","block","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity",1.80983160591783
"s3-cache-datasets__2007_msr","s3-cache-datasets","2007_msr","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families",1.101773114897
"s3-cache-datasets__2007_wiki","s3-cache-datasets","2007_wiki","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr","use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr","burstiness is materially above the calmer families",3.39640488675138
"s3-cache-datasets__2015_cloudphysics","s3-cache-datasets","2015_cloudphysics","request_sequence","tencent_block","random-ok","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; use a regime sampler around K≈8; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","family looks multi-regime or high-heterogeneity; burstiness is materially above the calmer families",1.20048817832977
"s3-cache-datasets__2016_wiki","s3-cache-datasets","2016_wiki","structured_table","tencent_block","split-by-format-first","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","split formats before training; current window GAN is a weaker fit than it is for request-sequence families","","formats/parsers are mixed",2.68007415338899
"s3-cache-datasets__2017_docker","s3-cache-datasets","2017_docker","structured_table","tencent_block","random-ok","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","current window GAN is a weaker fit than it is for request-sequence families","","no single pathological axis dominates this family",2.68007415338899
"s3-cache-datasets__2017_systor","s3-cache-datasets","2017_systor","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","no single pathological axis dominates this family",1.20844597770325
"s3-cache-datasets__2018_tencentPhoto","s3-cache-datasets","2018_tencentPhoto","request_sequence","tencent_block","split-by-format-first","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families; formats/parsers are mixed",2.52351223258489
"s3-cache-datasets__2019_wiki","s3-cache-datasets","2019_wiki","request_sequence","tencent_block","split-by-format-first","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families; formats/parsers are mixed",2.1965446251227
"s3-cache-datasets__2020_alibabaBlock","s3-cache-datasets","2020_alibabaBlock","request_sequence","alibaba","split-by-format-first","K≈8",TRUE,"promising","promising","mixed","unknown","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; use a regime sampler around K≈8","PCF loss is promising on the alibaba corpus; multi-scale critic looks promising for higher-mode families; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; formats/parsers are mixed",0.53885028349076
"s3-cache-datasets__2020_tencentBlock","s3-cache-datasets","2020_tencentBlock","request_sequence","alibaba","split-by-format-first","K≈8",TRUE,"promising","promising","mixed","unknown","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; use a regime sampler around K≈8","PCF loss is promising on the alibaba corpus; multi-scale critic looks promising for higher-mode families; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; formats/parsers are mixed",0.552735601965462
"s3-cache-datasets__2020_twitter","s3-cache-datasets","2020_twitter","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families",2.05936810582286
"s3-cache-datasets__2020_twr_cdn","s3-cache-datasets","2020_twr_cdn","structured_table","tencent_block","split-by-format-first","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","split formats before training; current window GAN is a weaker fit than it is for request-sequence families","","formats/parsers are mixed",2.57256572983729
"s3-cache-datasets__2022_metaCDN","s3-cache-datasets","2022_metaCDN","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families",7.3528122092437
"s3-cache-datasets__2022_metaKV","s3-cache-datasets","2022_metaKV","request_sequence","tencent_block","split-by-format-first","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; treat locality as first-class in the loss/conditioning stack; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","reuse/locality is not negligible; burstiness is materially above the calmer families; formats/parsers are mixed",37.0342801061587
"s3-cache-datasets__2022_metaStorage","s3-cache-datasets","2022_metaStorage","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; treat locality as first-class in the loss/conditioning stack; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","reuse/locality is not negligible; burstiness is materially above the calmer families",250.486162347736
"s3-cache-datasets__2023_metaCDN","s3-cache-datasets","2023_metaCDN","structured_table","tencent_block","random-ok","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","current window GAN is a weaker fit than it is for request-sequence families","","no single pathological axis dominates this family",2.48257855216334
"s3-cache-datasets__2023_metaStorage","s3-cache-datasets","2023_metaStorage","structured_table","tencent_block","split-by-format-first","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","split formats before training; current window GAN is a weaker fit than it is for request-sequence families","","formats/parsers are mixed",2.68007415338899
"s3-cache-datasets__2024_google","s3-cache-datasets","2024_google","structured_table","tencent_block","split-by-format-first","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","split formats before training; current window GAN is a weaker fit than it is for request-sequence families","","formats/parsers are mixed",2.68007415338899
"s3-cache-datasets__2026-alibaba-thinkahead","s3-cache-datasets","2026-alibaba-thinkahead","request_sequence","tencent_block","block","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; burstiness is materially above the calmer families",1.89427220498773
"s3-cache-datasets__alibaba","s3-cache-datasets","alibaba","request_sequence","tencent_block","block","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; burstiness is materially above the calmer families",0.343832603706066
"s3-cache-datasets__cache_trace_twitter_memcache","s3-cache-datasets","cache_trace_twitter_memcache","request_sequence","tencent_block","split-by-format-first","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; use a regime sampler around K≈8; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; burstiness is materially above the calmer families; formats/parsers are mixed",1.58195862921847
"s3-cache-datasets__cloudphysics","s3-cache-datasets","cloudphysics","request_sequence","tencent_block","split-by-format-first","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr","split formats before training; use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr","ordered files show temporal persistence; burstiness is materially above the calmer families; formats/parsers are mixed",0.656221838140788
"s3-cache-datasets__metaKV","s3-cache-datasets","metaKV","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; treat locality as first-class in the loss/conditioning stack; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: signed_stride_lag1_autocorr,obj_size_std","reuse/locality is not negligible; burstiness is materially above the calmer families",31.2337687269982
"s3-cache-datasets__msr","s3-cache-datasets","msr","request_sequence","tencent_block","random-ok","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr","use char-file conditioning; use a regime sampler around K≈8; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr","family looks multi-regime or high-heterogeneity; burstiness is materially above the calmer families",0.827071139767915
"s3-cache-datasets__other","s3-cache-datasets","other","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families",4.11493764627801
"s3-cache-datasets__tencentBlock","s3-cache-datasets","tencentBlock","request_sequence","tencent_block","block","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity",0
"tencent__cloud_disk","tencent","cloud_disk","aggregate_time_series","alibaba","random-ok","K≈8",TRUE,"promising","promising","not-primary","not-primary","","use char-file conditioning; use a regime sampler around K≈8","PCF loss is promising on the alibaba corpus; multi-scale critic looks promising for higher-mode families","family looks multi-regime or high-heterogeneity",4.5604783034393
